fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Resende;Sul Fluminense;2017;4;0;0;4;0;4;5;47;1;27;10;20;1;7;42;7;15;0;360
Rio Bonito;Baixadas Litorâneas;2017;0;0;0;0;0;0;4;27;3;13;4;9;0;10;9;0;3;0;154
Rio Claro;Sul Fluminense;2017;0;0;0;0;0;0;0;12;1;3;1;2;0;0;3;0;6;1;54
Rio das Flores;Sul Fluminense;2017;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;24
Rio das Ostras;Baixadas Litorâneas;2017;3;0;1;4;0;4;6;42;11;11;2;8;1;10;19;2;8;1;491
Rio de Janeiro;Metropolitana do Rio de Janeiro;2017;110;0;8;118;35;153;166;1924;124;311;128;139;46;1874;905;193;562;101;33890
Santa Maria Madalena;Norte Fluminense;2017;0;0;0;0;0;0;0;4;0;3;3;0;0;0;1;0;2;0;36
Santo Antônio de Pádua;Noroeste Fluminense;2017;2;0;0;2;0;2;0;9;4;5;3;2;0;1;6;0;3;0;96
São Francisco de Itabapoana;Norte Fluminense;2017;1;0;0;1;0;1;1;9;1;6;5;2;0;1;8;0;0;0;71
São Fidélis;Norte Fluminense;2017;0;0;0;0;0;0;0;12;1;7;4;2;1;1;2;1;6;1;90
São Gonçalo;Metropolitana do Rio de Janeiro;2017;28;0;0;28;4;32;14;312;11;38;7;26;5;360;102;31;81;3;3935
São João da Barra;Norte Fluminense;2017;1;0;0;1;0;1;0;14;1;5;0;5;0;1;9;2;2;0;117
São João de Meriti;Metropolitana do Rio de Janeiro;2017;11;0;2;13;3;16;18;112;13;29;0;28;1;152;85;22;39;2;1816
São José de Ubá;Noroeste Fluminense;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;8
São José do Vale do Rio Preto;Centro Fluminense;2017;0;0;0;0;0;0;0;15;1;12;12;0;0;0;1;0;1;0;56
São Pedro da Aldeia;Baixadas Litorâneas;2017;4;0;0;4;0;4;1;26;3;57;45;9;3;7;6;2;7;0;272
São Sebastião do Alto;Centro Fluminense;2017;0;0;0;0;0;0;0;2;0;2;2;0;0;0;1;0;0;0;37
Sapucaia;Centro Fluminense;2017;0;0;0;0;0;0;0;7;1;5;4;1;0;0;5;2;3;0;60
Saquarema;Baixadas Litorâneas;2017;3;0;0;3;0;3;2;26;1;14;9;3;3;12;11;2;8;1;314
Seropédica;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;0;28;2;2;0;2;0;10;17;2;8;2;187
Silva Jardim;Baixadas Litorâneas;2017;2;0;1;3;0;3;0;5;2;1;0;0;1;1;3;0;2;0;57
Sumidouro;Centro Fluminense;2017;0;0;0;0;0;0;0;6;0;4;3;0;1;0;2;0;1;0;32
Tanguá;Metropolitana do Rio de Janeiro;2017;2;0;0;2;0;2;1;6;0;5;0;3;2;5;4;0;1;0;87
Teresópolis;Centro Fluminense;2017;0;0;0;0;0;0;3;65;2;91;51;39;6;9;75;14;28;0;619
Trajano de Moraes;Centro Fluminense;2017;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;20
Três Rios;Centro Fluminense;2017;4;0;0;4;0;4;2;30;1;41;31;9;1;3;32;6;12;3;293
Valença;Sul Fluminense;2017;1;0;0;1;0;1;1;31;3;19;10;8;1;0;11;1;10;1;189
Varre-Sai;Noroeste Fluminense;2017;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;8
Vassouras;Centro Fluminense;2017;0;0;0;0;0;0;0;19;1;10;5;4;1;2;9;1;4;2;73
Volta Redonda;Sul Fluminense;2017;1;0;0;1;1;2;7;39;3;73;11;57;7;8;76;23;18;1;556
Angra dos Reis;Sul Fluminense;2017;9;0;0;9;3;12;8;51;6;46;11;29;7;8;33;8;32;0;449
Aperibé;Noroeste Fluminense;2017;0;0;0;0;0;0;0;3;0;5;3;2;0;0;3;1;0;0;25
Araruama;Baixadas Litorâneas;2017;9;0;0;9;0;9;5;41;2;30;12;13;6;11;18;6;18;0;430
Areal;Centro Fluminense;2017;0;0;0;0;0;0;0;2;0;1;0;1;0;0;2;0;0;0;18
Armação dos Búzios;Baixadas Litorâneas;2017;1;0;0;1;0;1;3;9;0;10;1;8;1;2;9;2;4;0;164
Arraial do Cabo;Baixadas Litorâneas;2017;2;0;0;2;0;2;1;9;0;34;21;11;2;0;21;7;4;0;137
Barra do Piraí;Sul Fluminense;2017;1;0;0;1;0;1;5;32;3;21;3;18;0;2;27;4;9;0;186
Barra Mansa;Sul Fluminense;2017;6;0;0;6;0;6;15;56;7;38;10;28;4;8;45;5;43;0;471
Belford Roxo;Metropolitana do Rio de Janeiro;2017;21;0;1;22;2;24;3;114;16;19;0;19;0;114;59;16;82;2;1432
Bom Jardim;Centro Fluminense;2017;1;0;0;1;0;1;1;11;0;5;2;2;1;1;4;3;2;0;70
Bom Jesus do Itabapoana;Noroeste Fluminense;2017;0;0;0;0;0;0;2;11;1;14;10;5;0;0;7;0;3;3;134
Cabo Frio;Baixadas Litorâneas;2017;12;0;0;12;0;12;17;49;7;50;4;42;5;17;76;14;16;1;706
Cachoeiras de Macacu;Centro Fluminense;2017;2;0;0;2;0;2;1;20;3;4;1;3;0;2;7;2;3;2;144
Cambuci;Noroeste Fluminense;2017;0;0;0;0;0;0;0;3;0;7;1;5;1;0;9;0;3;1;45
Carapebus;Norte Fluminense;2017;0;0;0;0;0;0;0;3;0;2;0;1;1;0;0;0;2;0;21
Comendador Levy Gasparian;Centro Fluminense;2017;0;0;0;0;0;0;0;0;0;9;8;1;0;0;0;1;1;0;17
Campos dos Goytacazes;Norte Fluminense;2017;9;0;2;11;1;12;12;102;18;91;30;41;23;28;113;29;35;8;1287
Cantagalo;Centro Fluminense;2017;0;0;0;0;0;0;0;14;0;13;4;9;0;1;1;0;0;0;61
Cardoso Moreira;Norte Fluminense;2017;0;0;0;0;0;0;0;4;0;6;4;2;0;0;4;0;1;0;38
Carmo;Centro Fluminense;2017;0;0;0;0;0;0;0;13;0;4;3;0;1;0;3;0;2;0;100
Casimiro de Abreu;Baixadas Litorâneas;2017;0;0;0;0;0;0;2;14;1;13;8;6;0;6;7;2;9;1;119
Conceição de Macabu;Norte Fluminense;2017;0;0;0;0;0;0;0;7;0;4;2;2;0;1;2;0;2;0;47
Cordeiro;Centro Fluminense;2017;0;0;0;0;0;0;1;10;4;8;5;3;0;0;4;0;9;0;86
Duas Barras;Centro Fluminense;2017;0;0;0;0;0;0;1;9;0;3;1;1;1;0;2;1;1;0;43
Duque de Caxias;Metropolitana do Rio de Janeiro;2017;30;0;2;32;5;37;32;245;54;29;4;23;3;334;123;22;77;2;4016
Engenheiro Paulo de Frontin;Sul Fluminense;2017;0;0;0;0;0;0;0;5;0;10;7;1;2;0;1;0;1;0;38
Guapimirim;Metropolitana do Rio de Janeiro;2017;2;0;0;2;0;2;2;33;0;5;0;3;2;3;7;1;12;0;162
Iguaba Grande;Baixadas Litorâneas;2017;0;0;0;0;0;0;1;14;0;2;2;0;0;1;0;0;0;0;92
Itaboraí;Metropolitana do Rio de Janeiro;2017;2;0;0;2;1;3;8;61;3;36;0;35;1;56;72;16;23;1;810
Itaguaí;Metropolitana do Rio de Janeiro;2017;2;0;0;2;3;5;11;32;3;8;0;7;1;17;23;8;14;1;441
Italva;Noroeste Fluminense;2017;0;0;0;0;0;0;0;7;0;2;1;1;0;1;1;0;2;0;38
Itaocara;Noroeste Fluminense;2017;0;0;0;0;0;0;2;6;3;11;11;1;0;1;5;0;1;0;93
Itaperuna;Noroeste Fluminense;2017;1;0;0;1;0;1;4;43;1;49;31;19;1;7;27;2;5;1;278
Itatiaia;Sul Fluminense;2017;0;0;0;0;0;0;4;18;0;57;39;18;1;1;32;0;35;1;197
Japeri;Metropolitana do Rio de Janeiro;2017;3;0;0;3;1;4;1;37;2;7;0;4;3;9;4;1;13;0;215
Laje do Muriaé;Noroeste Fluminense;2017;0;0;0;0;0;0;0;2;0;4;3;1;0;0;1;0;0;0;29
Macaé;Norte Fluminense;2017;9;0;0;9;0;9;6;88;2;22;4;17;1;17;43;9;10;4;1077
Macuco;Centro Fluminense;2017;0;0;0;0;0;0;0;1;2;4;2;2;0;0;1;0;1;0;21
Magé;Metropolitana do Rio de Janeiro;2017;7;1;0;8;0;8;11;103;6;16;2;11;3;25;46;14;39;2;819
Mangaratiba;Sul Fluminense;2017;3;0;0;3;0;3;0;23;2;11;6;5;1;5;20;0;14;0;215
Maricá;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;1;51;2;9;1;7;1;15;22;7;7;0;534
Mendes;Sul Fluminense;2017;0;0;0;0;0;0;0;4;1;9;2;7;0;2;14;2;4;0;60
Mesquita;Metropolitana do Rio de Janeiro;2017;2;0;0;2;2;4;8;51;2;19;2;18;0;35;36;10;42;19;767
Miguel Pereira;Sul Fluminense;2017;0;0;0;0;0;0;2;13;3;13;7;5;1;0;8;0;2;0;96
Miracema;Noroeste Fluminense;2017;0;0;0;0;0;0;0;11;1;21;15;5;1;0;7;2;1;0;76
Natividade;Noroeste Fluminense;2017;0;0;0;0;0;0;0;6;1;2;0;2;0;0;3;0;1;0;52
Nilópolis;Metropolitana do Rio de Janeiro;2017;3;0;0;3;0;3;4;45;1;5;3;2;0;23;10;5;9;0;883
Niterói;Metropolitana do Rio de Janeiro;2017;14;0;0;14;3;17;6;162;15;37;9;25;3;108;98;21;85;9;2360
Nova Friburgo;Centro Fluminense;2017;1;0;0;1;0;1;1;113;4;55;22;28;5;4;37;11;24;0;586
Nova Iguaçu;Metropolitana do Rio de Janeiro;2017;30;0;0;30;5;35;24;288;21;34;2;30;2;125;90;23;59;8;3306
Paracambi;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;3;21;2;12;3;6;3;2;6;1;17;0;136
Paraíba do Sul;Centro Fluminense;2017;1;0;0;1;0;1;0;6;0;19;12;6;1;0;13;1;18;1;117
Paraty;Sul Fluminense;2017;2;0;0;2;0;2;1;15;0;13;5;8;1;7;26;3;45;6;199
Paty do Alferes;Centro Fluminense;2017;0;0;0;0;0;0;0;11;0;4;2;2;0;0;1;0;1;0;52
Petrópolis;Centro Fluminense;2017;4;0;0;4;0;4;3;114;10;55;15;32;11;11;75;12;57;0;914
Pinheiral;Sul Fluminense;2017;0;0;0;0;0;0;0;11;0;20;12;7;3;0;9;0;2;0;111
Piraí;Sul Fluminense;2017;0;0;0;0;0;0;0;5;0;16;5;11;0;5;16;1;9;0;83
Porciúncula;Noroeste Fluminense;2017;0;0;0;0;0;0;0;8;1;4;3;1;0;1;2;0;3;2;76
Porto Real;Sul Fluminense;2017;1;0;0;1;0;1;1;10;0;10;1;9;0;0;7;4;1;3;63
Quatis;Sul Fluminense;2017;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;2;1;20
Queimados;Metropolitana do Rio de Janeiro;2017;9;0;0;9;3;12;7;45;9;8;1;7;0;9;15;5;28;0;406
Quissamã;Norte Fluminense;2017;0;0;0;0;0;0;5;11;0;5;1;4;0;1;7;2;3;1;52
Resende;Sul Fluminense;2017;1;0;0;1;0;1;4;33;6;34;8;25;1;6;43;16;16;1;383
Rio Bonito;Baixadas Litorâneas;2017;0;0;0;0;0;0;4;18;0;8;2;6;0;5;16;0;6;0;137
Rio Claro;Sul Fluminense;2017;0;0;0;0;0;0;0;4;0;5;2;2;1;1;3;1;6;0;47
Rio das Flores;Sul Fluminense;2017;0;0;0;0;0;0;0;2;0;2;0;2;0;0;1;0;0;0;24
Rio das Ostras;Baixadas Litorâneas;2017;5;1;0;6;0;6;3;54;3;18;6;12;1;11;34;7;14;0;549
Rio de Janeiro;Metropolitana do Rio de Janeiro;2017;133;2;7;142;29;171;224;2014;128;365;122;198;50;1832;959;217;608;129;33965
Santa Maria Madalena;Norte Fluminense;2017;1;0;0;1;0;1;0;4;0;1;1;0;0;1;0;0;1;0;24
Santo Antônio de Pádua;Noroeste Fluminense;2017;0;0;0;0;0;0;2;6;1;7;5;2;0;1;10;1;10;0;94
São Francisco de Itabapoana;Norte Fluminense;2017;2;0;0;2;0;2;0;7;0;4;3;0;1;1;3;0;2;0;58
São Fidélis;Norte Fluminense;2017;0;0;0;0;0;0;0;10;1;16;7;9;0;0;14;1;3;2;93
São Gonçalo;Metropolitana do Rio de Janeiro;2017;22;0;3;25;8;33;31;286;25;38;8;31;1;399;110;40;49;1;4328
São João da Barra;Norte Fluminense;2017;0;0;0;0;0;0;0;19;0;3;1;2;0;0;8;0;3;0;122
São João de Meriti;Metropolitana do Rio de Janeiro;2017;8;0;0;8;3;11;12;125;16;18;0;18;0;156;67;20;40;2;1893
São José de Ubá;Noroeste Fluminense;2017;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;7
São José do Vale do Rio Preto;Centro Fluminense;2017;0;0;0;0;0;0;0;7;1;2;2;0;0;0;4;0;2;0;45
São Pedro da Aldeia;Baixadas Litorâneas;2017;5;0;0;5;0;5;2;33;0;69;62;6;1;4;10;7;9;1;327
São Sebastião do Alto;Centro Fluminense;2017;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;41
Sapucaia;Centro Fluminense;2017;0;0;0;0;0;0;0;7;1;4;1;1;2;0;3;0;6;1;44
Saquarema;Baixadas Litorâneas;2017;4;0;0;4;0;4;3;26;5;12;4;7;1;6;12;1;11;2;294
Seropédica;Metropolitana do Rio de Janeiro;2017;4;0;0;4;0;4;0;27;1;6;1;5;0;14;16;4;5;1;225
Silva Jardim;Baixadas Litorâneas;2017;4;0;0;4;1;5;3;7;0;0;0;0;0;1;2;0;1;0;43
Sumidouro;Centro Fluminense;2017;0;0;0;0;0;0;1;6;2;7;4;1;2;1;1;0;0;0;46
Tanguá;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;0;11;1;2;1;1;0;5;4;0;0;0;92
Teresópolis;Centro Fluminense;2017;2;0;0;2;0;2;4;87;13;64;36;26;4;4;67;9;30;0;553
Trajano de Moraes;Centro Fluminense;2017;0;0;0;0;0;0;0;2;0;1;0;0;1;1;1;0;0;0;20
Três Rios;Centro Fluminense;2017;0;0;0;0;0;0;1;27;1;44;33;10;1;2;25;2;19;0;293
Valença;Sul Fluminense;2017;0;0;0;0;0;0;4;30;2;11;9;3;0;0;5;2;7;1;173
Varre-Sai;Noroeste Fluminense;2017;0;0;0;0;0;0;0;5;0;1;1;0;0;0;1;0;0;0;18
Vassouras;Centro Fluminense;2017;0;0;0;0;0;0;1;18;1;13;8;4;1;0;3;0;5;0;91
Volta Redonda;Sul Fluminense;2017;7;0;1;8;0;8;4;46;5;51;19;23;9;17;45;11;15;1;631
Angra dos Reis;Sul Fluminense;2017;5;0;0;5;4;9;13;58;12;42;17;20;5;9;36;7;16;1;474
Aperibé;Noroeste Fluminense;2017;0;0;0;0;0;0;1;5;1;6;5;1;0;0;2;0;0;0;31
Araruama;Baixadas Litorâneas;2017;11;0;1;12;0;12;15;43;3;51;16;26;10;9;26;10;21;0;453
Areal;Centro Fluminense;2017;0;0;0;0;0;0;0;6;1;2;2;0;0;0;2;0;0;0;15
Armação dos Búzios;Baixadas Litorâneas;2017;2;0;0;2;0;2;5;16;2;10;2;8;1;1;16;3;6;0;179
Arraial do Cabo;Baixadas Litorâneas;2017;0;0;0;0;0;0;0;7;0;21;17;3;1;1;13;1;1;0;107
Barra do Piraí;Sul Fluminense;2017;5;0;0;5;0;5;1;48;7;20;5;11;5;0;31;5;9;1;203
Barra Mansa;Sul Fluminense;2017;2;0;0;2;0;2;8;53;3;33;6;25;4;17;35;10;10;0;364
Belford Roxo;Metropolitana do Rio de Janeiro;2017;23;0;3;26;1;27;5;105;6;9;0;8;1;107;48;18;63;0;1251
Bom Jardim;Centro Fluminense;2017;0;0;0;0;0;0;0;7;0;5;2;4;0;1;3;3;1;0;54
Bom Jesus do Itabapoana;Noroeste Fluminense;2017;0;0;0;0;0;0;1;17;1;13;7;6;0;2;13;1;3;0;104
Cabo Frio;Baixadas Litorâneas;2017;10;0;0;10;1;11;9;55;5;37;6;28;5;9;41;14;5;0;628
Cachoeiras de Macacu;Centro Fluminense;2017;1;0;0;1;0;1;3;24;1;7;2;4;1;2;5;3;1;2;130
Cambuci;Noroeste Fluminense;2017;0;0;0;0;0;0;0;4;0;6;5;1;0;0;2;0;1;0;48
Carapebus;Norte Fluminense;2017;0;0;0;0;0;0;0;5;0;2;1;1;0;0;0;0;0;0;16
Comendador Levy Gasparian;Centro Fluminense;2017;0;0;0;0;0;0;0;3;0;7;7;0;0;0;0;0;0;0;15
Campos dos Goytacazes;Norte Fluminense;2017;11;0;0;11;1;12;16;99;5;83;31;42;14;8;111;18;83;10;1237
Cantagalo;Centro Fluminense;2017;1;0;0;1;0;1;0;13;0;8;4;4;0;1;11;2;3;0;64
Cardoso Moreira;Norte Fluminense;2017;0;0;0;0;0;0;1;8;2;10;3;8;0;0;12;0;1;0;34
Carmo;Centro Fluminense;2017;1;0;0;1;0;1;0;19;2;8;3;0;5;0;0;0;3;0;84
Casimiro de Abreu;Baixadas Litorâneas;2017;1;0;0;1;0;1;3;22;0;12;11;1;0;2;10;2;7;0;135
Conceição de Macabu;Norte Fluminense;2017;0;0;0;0;0;0;0;9;3;3;0;3;0;1;5;2;4;1;56
Cordeiro;Centro Fluminense;2017;0;0;0;0;0;0;0;7;1;6;3;4;0;0;3;2;4;0;62
Duas Barras;Centro Fluminense;2017;0;0;0;0;0;0;0;0;1;4;4;0;0;0;1;0;1;0;41
Duque de Caxias;Metropolitana do Rio de Janeiro;2017;49;0;0;49;17;66;33;286;22;46;2;44;0;292;155;27;65;7;3525
Engenheiro Paulo de Frontin;Sul Fluminense;2017;0;0;0;0;0;0;0;3;0;5;2;3;1;0;7;0;0;0;37
Guapimirim;Metropolitana do Rio de Janeiro;2017;1;0;0;1;0;1;1;10;3;10;3;7;0;3;12;3;7;0;167
Iguaba Grande;Baixadas Litorâneas;2017;0;0;0;0;0;0;0;8;0;5;2;1;2;1;4;1;1;0;120
Itaboraí;Metropolitana do Rio de Janeiro;2017;14;0;0;14;1;15;10;53;5;25;0;24;1;35;46;12;10;0;706
Itaguaí;Metropolitana do Rio de Janeiro;2017;4;0;0;4;3;7;4;58;1;2;0;1;1;25;8;1;6;0;368
Italva;Noroeste Fluminense;2017;0;0;0;0;0;0;0;3;0;1;1;0;0;0;7;2;2;0;53
Itaocara;Noroeste Fluminense;2017;0;0;0;0;0;0;2;14;0;4;1;3;0;0;5;0;8;0;87
Itaperuna;Noroeste Fluminense;2017;1;0;0;1;0;1;1;44;4;48;31;18;2;6;29;8;10;1;270
Itatiaia;Sul Fluminense;2017;3;0;0;3;0;3;5;21;1;76;64;10;2;1;19;1;12;1;215
Japeri;Metropolitana do Rio de Janeiro;2017;3;0;0;3;1;4;1;35;4;4;0;4;1;8;9;0;9;1;194
Laje do Muriaé;Noroeste Fluminense;2017;0;0;0;0;0;0;0;1;0;3;1;1;1;0;2;1;1;0;24
Macaé;Norte Fluminense;2017;10;0;0;10;0;10;17;96;13;33;4;25;4;7;36;15;13;3;1118
Macuco;Centro Fluminense;2017;0;0;0;0;0;0;0;5;0;5;1;2;2;0;7;1;0;0;16
Magé;Metropolitana do Rio de Janeiro;2017;10;0;0;10;1;11;4;88;7;27;7;18;3;21;38;11;32;0;705
Mangaratiba;Sul Fluminense;2017;1;0;0;1;0;1;0;25;3;9;3;6;0;2;8;3;4;1;187
Maricá;Metropolitana do Rio de Janeiro;2017;6;0;0;6;1;7;4;52;4;8;1;8;0;6;26;2;12;1;579
Mendes;Sul Fluminense;2017;0;0;0;0;0;0;1;6;1;3;1;2;0;1;6;0;1;0;49
Mesquita;Metropolitana do Rio de Janeiro;2017;2;0;0;2;2;4;7;77;1;21;0;20;1;41;43;16;17;7;708
Miguel Pereira;Sul Fluminense;2017;0;0;0;0;0;0;0;16;1;14;11;2;1;1;3;1;3;0;113
Miracema;Noroeste Fluminense;2017;1;0;0;1;0;1;0;13;0;20;12;8;0;0;8;2;12;0;81
Natividade;Noroeste Fluminense;2017;0;0;0;0;0;0;1;4;0;2;1;1;0;1;5;1;2;0;45
Nilópolis;Metropolitana do Rio de Janeiro;2017;2;0;1;3;0;3;2;59;6;14;7;7;1;21;20;9;15;1;769
Niterói;Metropolitana do Rio de Janeiro;2017;7;0;1;8;5;13;15;161;10;39;10;25;5;136;96;40;88;17;2621
Nova Friburgo;Centro Fluminense;2017;2;0;0;2;0;2;4;72;1;48;18;28;4;5;50;10;15;0;460
Nova Iguaçu;Metropolitana do Rio de Janeiro;2017;32;0;0;32;5;37;23;325;32;57;7;50;1;103;90;37;54;4;3007
Paracambi;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;0;33;0;5;2;1;2;2;4;1;6;0;126
Paraíba do Sul;Centro Fluminense;2017;1;0;0;1;0;1;0;13;1;14;10;3;1;0;6;1;18;1;112
Paraty;Sul Fluminense;2017;1;0;0;1;0;1;3;12;0;20;12;5;3;5;7;1;9;0;159
Paty do Alferes;Centro Fluminense;2017;1;0;0;1;0;1;0;9;0;0;0;0;0;0;0;0;1;0;29
Petrópolis;Centro Fluminense;2017;0;0;0;0;1;1;4;147;18;62;19;37;8;10;75;18;50;0;861
Pinheiral;Sul Fluminense;2017;0;0;0;0;0;0;0;18;0;8;4;4;0;1;1;0;5;1;98
Piraí;Sul Fluminense;2017;0;0;0;0;0;0;1;11;1;14;11;3;0;0;22;1;1;0;75
Porciúncula;Noroeste Fluminense;2017;0;0;0;0;0;0;0;8;1;6;4;2;0;1;2;0;1;0;63
Porto Real;Sul Fluminense;2017;0;0;0;0;0;0;0;13;0;4;0;3;1;0;4;3;3;0;90
Quatis;Sul Fluminense;2017;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;22
Queimados;Metropolitana do Rio de Janeiro;2017;6;0;1;7;1;8;2;68;3;3;0;3;0;14;16;5;22;1;460
Quissamã;Norte Fluminense;2017;0;0;0;0;0;0;0;7;0;6;1;4;1;1;8;3;2;1;44
Resende;Sul Fluminense;2017;7;0;0;7;0;7;4;63;9;25;7;18;1;8;45;11;14;0;418
Rio Bonito;Baixadas Litorâneas;2017;0;0;0;0;0;0;5;15;0;13;3;8;2;11;14;2;4;0;161
Rio Claro;Sul Fluminense;2017;0;0;0;0;0;0;0;11;0;7;2;5;0;0;4;3;7;1;62
Rio das Flores;Sul Fluminense;2017;0;0;0;0;0;0;0;4;0;5;4;0;1;0;0;0;1;0;34
Rio das Ostras;Baixadas Litorâneas;2017;5;0;0;5;0;5;0;52;8;13;5;8;1;5;25;5;21;1;527
Rio de Janeiro;Metropolitana do Rio de Janeiro;2017;142;2;3;147;46;193;155;2169;147;347;122;198;31;1472;1035;253;526;97;33166
Santa Maria Madalena;Norte Fluminense;2017;0;0;0;0;0;0;1;7;0;2;2;0;0;2;0;0;0;0;34
Santo Antônio de Pádua;Noroeste Fluminense;2017;1;0;0;1;0;1;0;9;1;8;6;2;0;0;14;0;7;0;117
São Francisco de Itabapoana;Norte Fluminense;2017;0;0;0;0;0;0;0;9;2;2;2;1;0;2;6;0;1;0;81
São Fidélis;Norte Fluminense;2017;2;0;0;2;0;2;0;7;1;3;3;1;0;0;12;0;5;0;104
São Gonçalo;Metropolitana do Rio de Janeiro;2017;42;0;0;42;10;52;51;273;41;33;4;28;1;361;132;33;59;1;3798
São João da Barra;Norte Fluminense;2017;0;0;0;0;0;0;0;13;1;6;1;3;2;1;10;1;3;0;90
São João de Meriti;Metropolitana do Rio de Janeiro;2017;13;0;2;15;2;17;17;134;15;30;2;27;1;127;68;29;46;3;1693
São José de Ubá;Noroeste Fluminense;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5
São José do Vale do Rio Preto;Centro Fluminense;2017;0;0;0;0;0;0;0;8;1;6;5;2;0;0;5;0;0;0;46
São Pedro da Aldeia;Baixadas Litorâneas;2017;0;0;0;0;2;2;3;37;3;44;35;7;3;4;12;8;7;1;252
São Sebastião do Alto;Centro Fluminense;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Sapucaia;Centro Fluminense;2017;0;0;0;0;0;0;0;4;1;5;2;3;0;1;4;0;2;0;44
Saquarema;Baixadas Litorâneas;2017;1;0;0;1;0;1;1;34;2;14;5;6;3;2;7;2;16;0;317
Seropédica;Metropolitana do Rio de Janeiro;2017;2;0;0;2;1;3;3;41;3;5;1;4;0;17;10;2;5;0;254
Silva Jardim;Baixadas Litorâneas;2017;0;0;0;0;0;0;1;8;0;2;0;1;1;2;3;0;3;0;57
Sumidouro;Centro Fluminense;2017;0;0;0;0;0;0;0;2;0;5;3;1;1;0;2;0;1;0;28
Tanguá;Metropolitana do Rio de Janeiro;2017;0;0;0;0;0;0;0;5;0;7;2;5;0;4;3;2;2;0;74
Teresópolis;Centro Fluminense;2017;1;0;0;1;0;1;1;75;13;73;38;29;8;4;60;3;23;2;598
Trajano de Moraes;Centro Fluminense;2017;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;28
Três Rios;Centro Fluminense;2017;2;0;0;2;0;2;3;54;3;36;27;9;1;1;31;0;16;4;293
Valença;Sul Fluminense;2017;1;0;0;1;0;1;2;23;3;27;10;15;2;2;16;7;39;0;194
Varre-Sai;Noroeste Fluminense;2017;0;0;0;0;0;0;0;2;1;4;4;0;0;0;0;0;1;0;14
Vassouras;Centro Fluminense;2017;2;0;0;2;0;2;0;17;0;9;7;2;0;2;4;0;1;0;108
Volta Redonda;Sul Fluminense;2017;7;0;0;7;0;7;6;55;3;45;9;35;3;10;63;22;7;2;638
Angra dos Reis;Sul Fluminense;2017;5;0;0;5;9;14;6;61;2;32;10;16;7;4;13;4;12;2;386
Aperibé;Noroeste Fluminense;2017;0;0;0;0;0;0;0;1;0;6;4;2;0;0;2;1;1;0;21
Araruama;Baixadas Litorâneas;2017;4;0;0;4;0;4;3;49;9;46;16;20;11;3;30;7;15;4;430
Areal;Centro Fluminense;2017;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;11
Armação dos Búzios;Baixadas Litorâneas;2017;0;0;0;0;0;0;1;24;2;12;3;6;3;0;7;1;8;1;216
Arraial do Cabo;Baixadas Litorâneas;2017;4;0;0;4;0;4;1;9;0;26;16;7;3;0;13;5;2;0;142
Barra do Piraí;Sul Fluminense;2017;1;0;0;1;0;1;3;47;2;25;8;14;3;3;20;4;11;1;233
Barra Mansa;Sul Fluminense;2017;7;0;1;8;0;8;14;53;7;42;8;31;4;6;48;9;12;1;417
Belford Roxo;Metropolitana do Rio de Janeiro;2017;20;0;0;20;1;21;11;155;8;20;1;19;0;142;51;9;67;0;1359
Bom Jardim;Centro Fluminense;2017;0;0;0;0;0;0;0;9;0;2;1;1;0;1;2;0;1;0;60
Bom Jesus do Itabapoana;Noroeste Fluminense;2017;0;0;0;0;0;0;1;11;0;16;11;4;1;1;9;2;12;1;155
Cabo Frio;Baixadas Litorâneas;2017;6;0;0;6;1;7;12;77;10;36;8;24;4;8;41;9;14;1;616
Cachoeiras de Macacu;Centro Fluminense;2017;2;0;0;2;0;2;1;22;1;6;2;3;1;3;11;0;5;0;151
Cambuci;Noroeste Fluminense;2017;0;0;0;0;0;0;0;5;1;6;3;3;0;0;7;0;2;0;52
Carapebus;Norte Fluminense;2017;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;14
