fmun;fregi;ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;registro_ocorrencias
Paraty;Sul Fluminense;2022;1;0;0;1;0;1;0;16;1;11;7;3;1;2;16;1;1;0;202
Paty do Alferes;Centro Fluminense;2022;1;1;0;2;0;2;3;16;1;8;6;2;0;1;5;0;1;0;77
Petrópolis;Centro Fluminense;2022;1;0;0;1;0;1;4;89;7;65;13;49;7;7;80;9;34;0;940
Pinheiral;Sul Fluminense;2022;1;0;0;1;0;1;1;10;0;15;6;12;0;0;19;3;1;0;80
Piraí;Sul Fluminense;2022;0;0;0;0;0;0;0;13;0;12;9;3;0;1;6;0;2;0;90
Porciúncula;Noroeste Fluminense;2022;1;0;0;1;0;1;0;11;0;4;3;1;0;0;1;0;0;0;38
Porto Real;Sul Fluminense;2022;0;0;0;0;0;0;2;7;0;8;2;5;1;2;6;1;4;0;57
Quatis;Sul Fluminense;2022;0;0;0;0;0;0;0;7;0;2;0;2;0;0;4;0;0;0;19
Queimados;Metropolitana do Rio de Janeiro;2022;7;0;0;7;5;12;10;60;3;7;3;3;1;2;13;0;2;0;430
Quissamã;Norte Fluminense;2022;3;0;0;3;0;3;2;11;0;5;1;4;0;0;7;3;2;0;68
Resende;Sul Fluminense;2022;1;0;0;1;0;1;2;42;8;30;7;22;1;2;28;1;10;2;353
Rio Bonito;Baixadas Litorâneas;2022;0;0;0;0;0;0;4;12;0;13;2;11;0;0;19;1;6;0;137
Rio Claro;Sul Fluminense;2022;0;0;0;0;0;0;0;5;0;2;2;0;0;2;1;0;0;0;35
Rio das Flores;Sul Fluminense;2022;0;0;0;0;0;0;0;8;1;6;3;0;3;0;0;0;0;0;31
Rio das Ostras;Baixadas Litorâneas;2022;2;0;0;2;0;2;9;37;1;32;8;21;4;11;43;16;5;0;600
Rio de Janeiro;Metropolitana do Rio de Janeiro;2022;76;2;1;79;31;110;78;1952;150;317;190;94;35;443;947;147;249;21;30382
Santa Maria Madalena;Norte Fluminense;2022;0;0;0;0;0;0;0;6;0;4;3;1;0;0;3;0;0;0;31
Santo Antônio de Pádua;Noroeste Fluminense;2022;4;0;0;4;0;4;1;7;1;27;19;7;2;2;15;3;1;0;98
São Francisco de Itabapoana;Norte Fluminense;2022;4;0;0;4;0;4;0;12;1;11;4;6;2;0;24;0;2;0;126
São Fidélis;Norte Fluminense;2022;0;0;0;0;0;0;0;8;0;13;6;9;0;0;12;0;1;0;88
